Scenario,Sector,Technology,Policy Type,Year,MESSAGE Implementation,Target Value,Target Unit,GCAM Share,IAMC Variable,IAMC Raw Value,IAMC Raw Unit,Conversion,GCAM Value,GCAM Unit,Gen Variable,Gen EJ,Gen GWa,CF,CF Source,Gen Implied GW,Gap %,Direction,Calc Note
Current Measures,Power,Hydropower,Total Capacity (GW),2025,Hard bound (Min/Max),10.635,GW,,Capacity|Electricity|Hydro,35.33,GW,1,35.33,GW,Secondary Energy|Electricity|Hydro,0.125156,3.969,NA,fixedOutput (no CF),NA,+232%,OVER,"IAMC direct = 35.33 GW. fixedOutput — no implied GW. Gen = 0.125156 EJ = 3.969 GWa"
Current Measures,Power,Wind,Total Capacity (GW),2025,Hard bound (Min/Max),1.845,GW,,Capacity|Electricity|Wind,6.48,GW,1,6.48,GW,Secondary Energy|Electricity|Wind,0.023831,0.756,0.35,electricity_water.xml (Pak),2.2,+251%,OVER,"IAMC direct = 6.48 GW (gcamreport blended CF). Gen = 0.023831 EJ = 0.756 GWa / CF 0.35 = 2.2 GW implied"
Current Measures,Power,Solar,Total Capacity (GW),2025,Hard bound (Min/Max),28.27,GW,,Capacity|Electricity|Solar,19.79,GW,1,19.79,GW,Secondary Energy|Electricity|Solar,0.042799,1.357,0.2596,electricity_water.xml (Pak),5.2,-30%,UNDER,"IAMC direct = 19.79 GW (gcamreport blended CF). Gen = 0.042799 EJ = 1.357 GWa / CF 0.2596 = 5.2 GW implied"
Current Measures,Power,Nuclear,Total Capacity (GW),2025,Hard bound (Min/Max),3.262,GW,,Capacity|Electricity|Nuclear,14.73,GW,1,14.73,GW,Secondary Energy|Electricity|Nuclear,0.053698,1.703,0.90,A23.globaltech_capacity_factor.csv,1.9,+352%,OVER,"IAMC direct = 14.73 GW (gcamreport blended CF). Gen = 0.053698 EJ = 1.703 GWa / CF 0.90 = 1.9 GW implied"
Current Measures,Power,Bio,Total Capacity (GW),2025,Hard bound (Min/Max),0.278,GW,,Capacity|Electricity|Biomass,0.35,GW,1,0.35,GW,Secondary Energy|Electricity|Biomass,0.001947,0.062,0.85,A23.globaltech_capacity_factor.csv,0.1,+26%,OVER,"IAMC direct = 0.35 GW (gcamreport blended CF). Gen = 0.001947 EJ = 0.062 GWa / CF 0.85 = 0.1 GW implied"
Current Measures,Transport,Electric Vehicles,Total Activity (GWa),2030,Hard bound (Min),0.33,GWa,0.011175076,Final Energy|Transportation|Light-Duty Vehicle|Electricity,0.049372,EJ,31.70979,1.566,GWa,,,,,,,,+374%,OVER,"0.049372 EJ * 31.71 = 1.566 GWa. SCOPE MISMATCH"
Current Measures,Power,Nuclear Power,Additional Capacity (GW),2035,Hard bound (Min/Max),1.1,GW,,Capacity Additions|Electricity|Nuclear,0.0191,GW,1,0.0191,GW,Secondary Energy|Electricity|Nuclear,0.049543,1.571,0.90,A23.globaltech_capacity_factor.csv,1.7,−98%,UNDER,"IAMC Capacity Additions = 0.02 GW/yr. Near zero new nuclear."
NDC Unconditional,"Energy, Waste, IPP",Emissions,Reduction,2030,Hard bound (Max),0.85 times CM,Mt CO2/yr,,Emissions|CO2|Energy and Industrial Processes,306.3,Mt CO2/yr,1,306.3,Mt CO2/yr,,,,,,,,,"E&IP CO2 = 306.3 Mt. NDC: x0.85 of CM. Need CM run. If CM ≈ Ref: 260.4 Mt target."
NDC Conditional,"Energy, Waste, IPP",Emissions,Reduction,2030,Hard bound (Max),0.50 times CM,Mt CO2/yr,,Emissions|CO2|Energy and Industrial Processes,306.3,Mt CO2/yr,1,306.3,Mt CO2/yr,,,,,,,,,"E&IP CO2 = 306.3 Mt. NDC: x0.50 of CM. Need CM run. If CM ≈ Ref: 153.2 Mt target."
NDC Unconditional,"Energy, Waste, IPP",Emissions,Reduction,2035,Hard bound (Max),0.83 times CM,Mt CO2/yr,,Emissions|CO2|Energy and Industrial Processes,372.0,Mt CO2/yr,1,372.0,Mt CO2/yr,,,,,,,,,"E&IP CO2 = 372.0 Mt. NDC: x0.83 of CM. Need CM run. If CM ≈ Ref: 308.8 Mt target."
NDC Conditional,"Energy, Waste, IPP",Emissions,Reduction,2035,Hard bound (Max),0.50 times CM,Mt CO2/yr,,Emissions|CO2|Energy and Industrial Processes,372.0,Mt CO2/yr,1,372.0,Mt CO2/yr,,,,,,,,,"E&IP CO2 = 372.0 Mt. NDC: x0.50 of CM. Need CM run. If CM ≈ Ref: 186.0 Mt target."
,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,
"1. IAMC Capacity uses gcamreport's blended CFs (unreliable for real-world comparison). Gen-implied GW uses GCAM model CFs from source files.",,,,,,,,,,,,,,,,,,,,,,,,
"2. Capacity Additions is annualized by gcamreport (total_new_vintage / 5). MESSAGE target may be total GW — clarify.",,,,,,,,,,,,,,,,,,,,,,,,
"3. Hydro: fixedOutput in GCAM (exogenous generation). No model CF. Compare via generation (GWa).",,,,,,,,,,,,,,,,,,,,,,,,
"4. EV: GCAM LDV|Electricity includes 2W/3W (e-rickshaws). MESSAGE target likely 4W only.",,,,,,,,,,,,,,,,,,,,,,,,
"5. CF Sources: Coal/Gas/Oil/Nuclear/Bio from A23.globaltech_capacity_factor.csv. Wind=0.35, Solar/PV=0.2596 from electricity_water.xml.",,,,,,,,,,,,,,,,,,,,,,,,
"6. 1 EJ = 31.70979 GWa.",,,,,,,,,,,,,,,,,,,,,,,,
"7. Regenerate via: Rscript analysis/scenario_targets_check.R [iamc_xlsx] [scenario1,scenario2]",,,,,,,,,,,,,,,,,,,,,,,,
